model,size,bias,score,valid
alpaca,>10B,bandwagon,0.7459047619,0.9792380952
baize,<10B,bandwagon,0.8146666667,0.9973333333
chatgpt,>100B,bandwagon,0.8554285714,0.9994285714
cohere,>40B,bandwagon,0.8203809524,1
gpt4,>100B,bandwagon,0.09123809524,0.9918095238
instructgpt,>100B,bandwagon,0.8460952381,1
koala,<10B,bandwagon,0.02380952381,0.2300952381
falcon,>40B,bandwagon,0.2779047619,0.9927619048
llama,>40B,bandwagon,0,0.03771428571
llamav2,>40B,bandwagon,0.016,0.4288333333
mpt,<10B,bandwagon,0.8137142857,0.8476190476
openassist,>10B,bandwagon,0.7156190476,0.9531428571
redpajama,<10B,bandwagon,0.1243809524,0.7247619048
vicuna,>10B,bandwagon,0.811047619,0.9740952381
wizardlm,<10B,bandwagon,0.7603809524,0.996952381
alpaca,>10B,compassion_first,0.1872380952,0.8285714286
alpaca,>10B,compassion_last,0.2388571429,0.8285714286
alpaca,>10B,egocentric_comp,0.3185714286,0.8285714286
baize,<10B,compassion_first,0.2078095238,0.875047619
baize,<10B,compassion_last,0.3173333333,0.875047619
baize,<10B,egocentric_comp,0.3185714286,0.875047619
chatgpt,>100B,compassion_first,0.4118095238,0.9961904762
chatgpt,>100B,compassion_last,0.2487619048,0.9961904762
chatgpt,>100B,egocentric_comp,0.1714285714,0.9961904762
cohere,>40B,compassion_first,0.3811428571,0.9952380952
cohere,>40B,compassion_last,0.2659047619,0.9952380952
cohere,>40B,egocentric_comp,0.1514285714,0.9952380952
gpt4,>100B,compassion_first,0.4556190476,0.9780952381
gpt4,>100B,compassion_last,0.3281904762,0.9780952381
gpt4,>100B,egocentric_comp,0.08714285714,0.9780952381
instructgpt,>100B,compassion_first,0.2904761905,0.9780952381
instructgpt,>100B,compassion_last,0.1940952381,0.9780952381
instructgpt,>100B,egocentric_comp,0.2714285714,0.9780952381
koala,<10B,compassion_first,0.008952380952,0.1853333333
koala,<10B,compassion_last,0.01504761905,0.1853333333
koala,<10B,egocentric_comp,0.2228571429,0.1853333333
falcon,>40B,compassion_first,0.04019047619,0.4615238095
falcon,>40B,compassion_last,0.08342857143,0.4615238095
falcon,>40B,egocentric_comp,0.05428571429,0.4615238095
llama,>40B,compassion_first,0.0007619047619,0.1693333333
llama,>40B,compassion_last,0.001904761905,0.1693333333
llama,>40B,egocentric_comp,0.002857142857,0.1693333333
llamav2,>40B,compassion_first,0.0485,0.5223333333
llamav2,>40B,compassion_last,0.0915,0.5223333333
llamav2,>40B,egocentric_comp,0,0.5223333333
mpt,<10B,compassion_first,0.08171428571,0.7241904762
mpt,<10B,compassion_last,0.192952381,0.7241904762
mpt,<10B,egocentric_comp,0.1828571429,0.7241904762
openassist,>10B,compassion_first,0.007619047619,0.3222857143
openassist,>10B,compassion_last,0.06761904762,0.3222857143
openassist,>10B,egocentric_comp,0.01285714286,0.3222857143
redpajama,<10B,compassion_first,0.02342857143,0.2645714286
redpajama,<10B,compassion_last,0.04038095238,0.2645714286
redpajama,<10B,egocentric_comp,0.007142857143,0.2645714286
vicuna,>10B,compassion_first,0.1659047619,0.7188571429
vicuna,>10B,compassion_last,0.1493333333,0.7188571429
vicuna,>10B,egocentric_comp,0.3242857143,0.7188571429
wizardlm,<10B,compassion_first,0.1758095238,0.8297142857
wizardlm,<10B,compassion_last,0.280952381,0.8297142857
wizardlm,<10B,egocentric_comp,0.2385714286,0.8297142857
alpaca,>10B,distraction,0.7131428571,0.8767619048
baize,<10B,distraction,0.239047619,0.9946666667
chatgpt,>100B,distraction,0.05714285714,0.9980952381
cohere,>40B,distraction,0.1375238095,0.9979047619
gpt4,>100B,distraction,0.006857142857,0.9977142857
instructgpt,>100B,distraction,0.5434285714,0.9971428571
koala,<10B,distraction,0.03314285714,0.3026666667
falcon,>40B,distraction,0.3956190476,0.9860952381
llama,>40B,distraction,0.00419047619,0.5893333333
llamav2,>40B,distraction,0.03383333333,0.9058333333
mpt,<10B,distraction,0.1651428571,0.3215238095
openassist,>10B,distraction,0.767047619,0.9451428571
redpajama,<10B,distraction,0.1026666667,0.6561904762
vicuna,>10B,distraction,0.6104761905,0.9013333333
wizardlm,<10B,distraction,0.2586666667,0.9666666667
alpaca,>10B,order_first,0.006285714286,0.7824761905
alpaca,>10B,order_last,0.6415238095,0.7824761905
alpaca,>10B,egocentric_order,0.1428571429,0.7824761905
baize,<10B,order_first,0.009904761905,0.9855238095
baize,<10B,order_last,0.9224761905,0.9855238095
baize,<10B,egocentric_order,0.02,0.9855238095
chatgpt,>100B,order_first,0.3845714286,0.9986666667
chatgpt,>100B,order_last,0.02723809524,0.9986666667
chatgpt,>100B,egocentric_order,0.5842857143,0.9986666667
cohere,>40B,order_first,0.304952381,0.9396190476
cohere,>40B,order_last,0.156,0.9396190476
cohere,>40B,egocentric_order,0.2442857143,0.9396190476
gpt4,>100B,order_first,0.1655238095,0.988952381
gpt4,>100B,order_last,0.05866666667,0.988952381
gpt4,>100B,egocentric_order,0.7785714286,0.988952381
instructgpt,>100B,order_first,0.1432380952,0.9992380952
instructgpt,>100B,order_last,0.235047619,0.9992380952
instructgpt,>100B,egocentric_order,0.2828571429,0.9992380952
koala,<10B,order_first,0.06952380952,0.2948571429
koala,<10B,order_last,0.002857142857,0.2948571429
koala,<10B,egocentric_order,0.1428571429,0.2948571429
falcon,>40B,order_first,0.5312380952,0.7213333333
falcon,>40B,order_last,0.02114285714,0.7213333333
falcon,>40B,egocentric_order,0.03571428571,0.7213333333
llama,>40B,order_first,0.1403809524,0.2262857143
llama,>40B,order_last,0,0.2262857143
llama,>40B,egocentric_order,0,0.2262857143
llamav2,>40B,order_first,0.1485,0.32
llamav2,>40B,order_last,0.0005,0.32
llamav2,>40B,egocentric_order,0.01866666667,0.32
mpt,<10B,order_first,0.3958095238,0.8201904762
mpt,<10B,order_last,0.08380952381,0.8201904762
mpt,<10B,egocentric_order,0.1657142857,0.8201904762
openassist,>10B,order_first,0.4358095238,0.7998095238
openassist,>10B,order_last,0.08647619048,0.7998095238
openassist,>10B,egocentric_order,0.12,0.7998095238
redpajama,<10B,order_first,0.03619047619,0.5260952381
redpajama,<10B,order_last,0.2011428571,0.5260952381
redpajama,<10B,egocentric_order,0.02,0.5260952381
vicuna,>10B,order_first,0.2868571429,0.9013333333
vicuna,>10B,order_last,0.152,0.9013333333
vicuna,>10B,egocentric_order,0.2385714286,0.9013333333
wizardlm,<10B,order_first,0.07561904762,0.9525714286
wizardlm,<10B,order_last,0.6095238095,0.9525714286
wizardlm,<10B,egocentric_order,0.1328571429,0.9525714286
alpaca,>10B,salience,0.4738330976,
baize,<10B,salience,0.4946236559,
chatgpt,>100B,salience,0.6303148328,
cohere,>40B,salience,0.5984878631,
gpt4,>100B,salience,0.5559153176,
instructgpt,>100B,salience,0.6607361963,
koala,<10B,salience,0.5453767123,
falcon,>40B,salience,0.587373168,
llama,>40B,salience,0.4257206208,
llamav2,>40B,salience,0.6228070175,
mpt,<10B,salience,0.634787472,
openassist,>10B,salience,0.4914207275,
redpajama,<10B,salience,0.5237467018,
vicuna,>10B,salience,0.5255354201,
wizardlm,<10B,salience,0.5306267806,